3-12/                                                                            
5at_1      fabcdeabcdevf-p                    cdeab         5a_2      "Torus(5   2)"
9ah_01     jabcadefghibcihgfedvvv---          hgfeicbad     9a_27                
9ah_02     jabcdefgahibcdefgihvvv---          feghiabcd     9a_38                
9ah_03     jabcdeafghibcdeihgfvvv---          gfehibacd     9a_35                
9ah_04     jabcdeafghibedcihgfvvv---          gfeihbacd     9a_36                
9ah_05     jabcadefghibcefghidvvv---          hefgibcad     9a_23                
9ah_06     jabcdefgahidcbgfeihvvv---          fegihacbd     9a_40                
9ah_07     jabcadefghibcifghedvvv---          hgfeibcad     9a_26                
9ah_08     jabcdeafghibcdeghifvvv---          gefhibacd     9a_33                
9ah_09     jabcadefdbcghifeihgvvvVng          hfaigbedc     9a_8                 
9ah_10     jabcdeafghfbcdeihgivvv-2B          gfahibecd     9a_20                
9ah_11     jabcdefgahibcdgfeihvvv---          fegihabcd     9a_39                
9ah_12     jabcadefgbchigfedihvvv-pp          hfeigbadc     9a_22                
9ah_13     jabcdefghbahifedcigvvv-mp          edgfhicba     9a_17                
9ah_14     jabcdeafghibedcghifvvv---          gefihbacd     9a_34                
9ah_15     jabcdecfghibedfgaihvvvNto          bfghciade     9a_14                
9ah_16     jabcadefghdbcihefgivvvV3E          hfgaicbed     9a_19                
9ah_17     jabcadefghibcghidefvvv---          hgeficabd     9a_25                
9ah_18     jabcdeabcfghfdeihgivvv-BB          ghfbicead     9a_9                 
9ah_19     jabcadefgbcgfhiedihvvv--m          hfdibgaec     9a_10                
9ah_20     jabcdefdcghbifeiahgvvvpZm          bfgehcaid     9a_3                 
9ah_21     jabcadefghibcidehgfvvv---          hfgeiacbd     9a_24                
9ah_22     jabcdeafgbhiedihcgfvvv-N5          gfeichabd     9a_21                
9ah_23     jabcdefgehibcdaigfhvvvVXB          cfghibead     9a_15                
9ah_24     jabcadefgbchiefihgdvvv---          hegifbdac     9a_16                
9ah_25     jabcdefgcdehibgfaihvvvFoj          bghficdae     9a_2                 
9ah_26     jabcadebcfghiedifghvvv-dd          heigfacdb     9a_7                 
9ah_27     jabcdefgehidcbgfaihvvvFYj          bfhgidace     9a_18                
9ah_28     jabcadefgbchdifeighvvvVng          hfgiabedc     9a_12                
9ah_29     jabcadebcfghigfedihvvv-pp          hfiegcadb     9a_4                 
9ah_30     jabcadefghiefidbcghvvvV5n          hdgebaicf     9a_5                 
9ah_31     jabcadefgbchdifgiehvvvppp          hgfiabedc     9a_13                
9ah_32     jabcadefghdifeibcghvvvVHn          hegabdicf     9a_1                 
9ah_33     jabcdefghbafidchgievvvppp          edfhgibac     9a_29                
9ah_34     jabcdeabfgehidgfcihvvv-jj          geifbhcad     9a_31                
9ah_35     jabcdeafgbehidcgfihvvv-pp          geifhacbd     9a_32                
9ah_36     jabcdeabfgchidgfeihvvv---          gehfbicad     9a_30                
9ah_37     jabcdefghdaigfibchevvvVTn          ehafgcibd     9a_6                 
9ah_38     jabcdeabfdghigefcihvvvNjj          gedfihcab     9a_11                
9ah_39     jabcdefbghafidhgcievvvpjj          edifghbac     9a_28                
9ah_40     jabcdefbgheicgafidhvvvBBB          chgfbaied     9a_37                
8ah_01     iabcdefghfedcbahgvvf-8d            behgfadc      8a_11                
8ah_02     iabcdefghbcdefahgvvf-8d            befghacd      8a_8                 
8ah_03     iabcdefghdcbahgfevvfp8a            cfehgbad      8a_18                
8ah_04     iabcdefghbcdahgfevvfp8a            cfeghbad      8a_17                
8ah_05     iabcdefghdefabchgvvf-8d            cdfaghbe      8a_13                
8ah_06     iabcadefgbchdefghvvfpma            gefhabdc      8a_6                 
8ah_07     iabcdefghdefcbahgvvf-8d            behfgadc      8a_10                
8ah_08     iabcdefghbcdafghevvfp8a            cfeghabd      8a_16                
8ah_09     iabcadefgbcghefhdvvfFEi            gedhfbac      8a_4                 
8ah_10     iabcdefghbcfedahgvvf-8d            befhgacd      8a_9                 
8ah_11     iabcadefgbchdgfehvvfpma            gfehabdc      8a_7                 
8ah_12     iabcadebcfghdefghvvfpda            gehfacdb      8a_3                 
8ah_13     iabcdefdghcbhgafevvfpzc            bdgeahcf      8a_5                 
8ah_14     iabcadefghfbcehgdvvf-5j            gefbhcad      8a_1                 
8ah_15     iabcadebcfgedhfghvvf--p            gdhfaceb      8a_2                 
8ah_16     iabcdeafgdehfbcghvvf-md            fehagcdb      8a_15                
8ah_17     iabcdefbcghdafghevvfpZa            cgefhadb      8a_14                
8ah_18     iabcdeafcgehfbgdhvvfZmd            fghabcde      8a_12                
10nt_1     kabcdbefcdghijaefghijltvb---d      dgijFHaEbc    10n_21    "Torus(5   3)"
11nh_001   labcdecbfghiedihjkajgfkRQsdzG5j    cGkFIDBJEHa   11n_38               
11nh_002   labcdefbghcdijaghkjfeikRmvgpFEi    eikGbHJCaFd   11n_19               
11nh_003   labcdefghiajifedcbkhgkjRwQc-y-m    gkIHFJaDCBE   11n_139              
11nh_004   labcdbefcdghigjkaefihjkltvf-p-m    dgikFHaEjbc   11n_57               
11nh_005   labcdefbghcdefijkiaghkjRSuf--Zd    cgjFHIaDEkb   11n_13               
11nh_006   labcdefghdijkbcijkahefgtvwfpeJa    cefIgbajkDh   11n_70               
11nh_007   labcdbefghidcjkeaijkhgflLvfTWma    djhgFIkcaEb   11n_79               
11nh_008   labcdbefghcdijakjihgfeklnvfFygi    ekihaGJdcFb   11n_49               
